1.四则运算题目1    1 - 1 = 
52.四则运算题目52    3 - 1 / 6 + 3 = 
53.四则运算题目53    0 + 2 - 0 = 
54.四则运算题目54    7 + 5 / 3 - 3 = 
55.四则运算题目55    0 * 7 - 0 / 7 = 
56.四则运算题目56    8 / 1 + 8 / 8 = 
57.四则运算题目57    8 * 5 = 
58.四则运算题目58    5 + 1 / 3 - 0 = 
59.四则运算题目59    4 + 4 + 7 = 
60.四则运算题目60    4 - 1 + 1 = 
61.四则运算题目61    4 + 4 + 1 = 
62.四则运算题目62    2 / 2 / 7 * 6 = 
63.四则运算题目63    9 + 8 = 
64.四则运算题目64    4 - 1 = 
65.四则运算题目65    5 - 6 * 4 / 5 = 
66.四则运算题目66    6 - 1 + 1 + 9 = 
67.四则运算题目67    9 - 8 + 8 = 
68.四则运算题目68    4 / 8 * 4 / 7 = 
69.四则运算题目69    1 * 1 * 5 = 
70.四则运算题目70    2 + 2 * 2 - 2 = 
71.四则运算题目71    6 - 4 + 4 = 
72.四则运算题目72    6 + 2 * 3 = 
73.四则运算题目73    4 + 6 / 5 * 5 = 
74.四则运算题目74    7 / 7 + 8 * 7 = 
75.四则运算题目75    5 + 1 = 
76.四则运算题目76    4 - 3 + 9 / 3 = 
77.四则运算题目77    7 - 2 = 
78.四则运算题目78    8 / 8 + 8 / 8 = 
79.四则运算题目79    8 - 5 + 2 = 
80.四则运算题目80    8 / 8 / 7 = 
81.四则运算题目81    5 + 5 + 4 = 
82.四则运算题目82    7 / 5 = 
83.四则运算题目83    2 / 1 + 3 = 
84.四则运算题目84    6 + 2 - 2 - 6 = 
85.四则运算题目85    7 / 7 = 
86.四则运算题目86    6 * 1 / 6 = 
87.四则运算题目87    7 - 0 / 7 - 2 = 
88.四则运算题目88    4 * 5 + 8 / 8 = 
89.四则运算题目89    7 + 7 + 5 = 
90.四则运算题目90    1 / 1 / 7 = 
91.四则运算题目91    0 / 7 * 7 * 8 = 
92.四则运算题目92    4 + 9 * 8 - 8 = 
93.四则运算题目93    9 * 9 = 
94.四则运算题目94    7 * 3 = 
95.四则运算题目95    7 / 6 = 
96.四则运算题目96    5 * 4 + 4 + 4 = 
97.四则运算题目97    3 - 5 / 5 / 3 = 
98.四则运算题目98    5 + 5 + 9 = 
99.四则运算题目99    0 / 8 + 5 = 
100.四则运算题目100    5 * 2 + 6 = 
101.四则运算题目101    9 - 0 + 2 * 0 = 
102.四则运算题目102    3 + 3 + 2 = 
103.四则运算题目103    3 - 1 * 1 * 3 = 
104.四则运算题目104    4 - 4 - 0 / 5 = 
105.四则运算题目105    5 + 9 / 8 * 5 = 
106.四则运算题目106    4 + 9 = 
107.四则运算题目107    2 + 2 / 2 = 
108.四则运算题目108    6 / 2 = 
109.四则运算题目109    4 + 7 = 
110.四则运算题目110    8 + 3 - 8 / 8 = 
111.四则运算题目111    0 + 0 + 3 = 
112.四则运算题目112    9 / 2 = 
113.四则运算题目113    3 * 7 - 2 = 
114.四则运算题目114    7 / 4 = 
115.四则运算题目115    2 * 9 = 
116.四则运算题目116    0 / 4 + 4 + 1 = 
117.四则运算题目117    4 / 4 / 4 + 4 = 
118.四则运算题目118    8 + 5 * 3 = 
119.四则运算题目119    7 + 8 / 8 = 
120.四则运算题目120    7 + 4 / 4 / 7 = 
121.四则运算题目121    7 - 4 * 0 + 0 = 
122.四则运算题目122    3 - 1 / 8 = 
123.四则运算题目123    8 + 8 - 8 + 8 = 
124.四则运算题目124    0 / 3 = 
125.四则运算题目125    0 * 9 / 8 = 
126.四则运算题目126    8 * 8 = 
127.四则运算题目127    0 / 6 + 6 + 0 = 
128.四则运算题目128    2 + 2 - 2 - 2 = 
129.四则运算题目129    4 + 4 * 4 = 
130.四则运算题目130    0 + 1 * 1 * 0 = 
131.四则运算题目131    1 / 1 / 1 / 2 = 
132.四则运算题目132    0 - 0 + 5 * 1 = 
133.四则运算题目133    6 * 9 / 6 = 
134.四则运算题目134    1 * 1 * 0 = 
135.四则运算题目135    8 * 4 + 2 - 8 = 
136.四则运算题目136    9 / 3 = 
137.四则运算题目137    3 * 1 / 3 * 3 = 
138.四则运算题目138    1 + 5 * 1 = 
139.四则运算题目139    9 + 3 - 3 = 
140.四则运算题目140    2 + 3 - 2 + 6 = 
141.四则运算题目141    1 + 1 + 8 / 4 = 
142.四则运算题目142    6 / 6 = 
143.四则运算题目143    2 * 2 * 7 - 3 = 
144.四则运算题目144    5 + 9 = 
145.四则运算题目145    4 / 7 = 
146.四则运算题目146    6 / 2 + 2 = 
147.四则运算题目147    3 - 3 + 3 / 7 = 
148.四则运算题目148    1 * 3 / 1 = 
149.四则运算题目149    3 / 9 = 
150.四则运算题目150    1 + 9 / 1 = 
151.四则运算题目151    2 - 5 / 4 + 3 = 
152.四则运算题目152    1 * 9 - 1 = 
153.四则运算题目153    5 + 5 + 5 + 4 = 
154.四则运算题目154    4 + 4 + 5 = 
155.四则运算题目155    3 / 5 = 
156.四则运算题目156    1 + 7 * 7 * 1 = 
157.四则运算题目157    1 / 1 / 7 * 1 = 
158.四则运算题目158    6 * 0 / 4 = 
159.四则运算题目159    1 / 8 = 
160.四则运算题目160    7 - 6 + 6 + 8 = 
161.四则运算题目161    5 + 0 - 5 + 0 = 
162.四则运算题目162    2 * 2 * 2 * 2 = 
163.四则运算题目163    6 - 0 / 6 = 
164.四则运算题目164    4 + 4 + 1 * 4 = 
165.四则运算题目165    8 * 6 + 6 + 8 = 
166.四则运算题目166    4 + 6 * 3 = 
167.四则运算题目167    0 + 6 - 6 = 
168.四则运算题目168    2 / 2 / 2 = 
169.四则运算题目169    5 + 9 - 9 - 2 = 
170.四则运算题目170    5 + 3 - 3 = 
171.四则运算题目171    4 - 3 + 3 + 3 = 
172.四则运算题目172    5 * 3 = 
173.四则运算题目173    4 / 2 + 4 / 4 = 
174.四则运算题目174    8 * 8 * 3 = 
175.四则运算题目175    1 - 5 * 5 * 0 = 
176.四则运算题目176    6 / 8 + 1 = 
177.四则运算题目177    9 + 9 - 2 * 9 = 
178.四则运算题目178    6 * 2 - 2 - 0 = 
179.四则运算题目179    8 / 8 = 
180.四则运算题目180    4 + 4 + 6 = 
181.四则运算题目181    7 - 1 + 1 + 0 = 
182.四则运算题目182    2 + 4 / 2 + 8 = 
183.四则运算题目183    9 * 0 / 5 = 
184.四则运算题目184    5 / 7 * 2 = 
185.四则运算题目185    9 - 5 + 5 = 
186.四则运算题目186    5 - 9 / 9 / 5 = 
187.四则运算题目187    3 + 0 / 3 = 
188.四则运算题目188    7 * 9 = 
189.四则运算题目189    3 + 3 + 3 + 8 = 
190.四则运算题目190    2 * 2 * 4 = 
191.四则运算题目191    3 + 2 * 3 = 
192.四则运算题目192    6 * 8 + 6 * 8 = 
193.四则运算题目193    4 + 5 - 5 = 
194.四则运算题目194    6 / 6 / 6 / 2 = 
195.四则运算题目195    8 + 7 - 1 * 8 = 
196.四则运算题目196    2 + 7 - 8 = 
197.四则运算题目197    4 + 4 + 8 = 
198.四则运算题目198    4 * 9 = 
199.四则运算题目199    0 + 0 + 4 - 0 = 
200.四则运算题目200    6 / 7 = 
201.四则运算题目201    7 + 0 * 3 - 7 = 
202.四则运算题目202    6 / 9 + 9 + 0 = 
203.四则运算题目203    6 - 5 / 1 = 
204.四则运算题目204    9 - 6 + 5 = 
205.四则运算题目205    5 / 8 * 8 = 
206.四则运算题目206    9 - 0 * 9 = 
207.四则运算题目207    1 / 5 = 
208.四则运算题目208    4 / 6 = 
209.四则运算题目209    2 / 8 * 8 * 8 = 
210.四则运算题目210    7 * 5 + 7 = 
211.四则运算题目211    4 / 4 = 
212.四则运算题目212    2 + 4 * 2 = 
213.四则运算题目213    4 / 5 = 
214.四则运算题目214    8 + 1 - 9 = 
215.四则运算题目215    8 * 8 * 8 + 8 = 
216.四则运算题目216    4 * 6 + 9 = 
217.四则运算题目217    5 / 3 - 5 / 8 = 
218.四则运算题目218    9 / 7 + 9 = 
219.四则运算题目219    8 + 7 / 9 = 
220.四则运算题目220    1 + 5 * 7 = 
221.四则运算题目221    7 - 2 / 8 + 8 = 
222.四则运算题目222    4 / 3 = 
223.四则运算题目223    3 * 3 * 9 - 7 = 
224.四则运算题目224    2 + 2 + 7 / 2 = 
225.四则运算题目225    6 * 3 - 8 = 
226.四则运算题目226    8 + 1 - 1 - 1 = 
227.四则运算题目227    3 - 9 / 4 + 2 = 
228.四则运算题目228    9 + 9 + 3 = 
229.四则运算题目229    7 + 4 * 8 - 4 = 
230.四则运算题目230    0 / 4 = 
231.四则运算题目231    7 + 3 - 7 = 
232.四则运算题目232    2 * 2 + 6 = 
233.四则运算题目233    6 * 1 + 1 + 6 = 
234.四则运算题目234    3 * 5 / 2 + 5 = 
235.四则运算题目235    8 * 1 / 8 = 
236.四则运算题目236    7 + 7 + 8 - 4 = 
237.四则运算题目237    0 + 7 * 7 * 3 = 
238.四则运算题目238    5 - 3 + 2 = 
239.四则运算题目239    5 / 5 = 
240.四则运算题目240    0 * 3 + 5 / 8 = 
241.四则运算题目241    2 / 8 * 2 = 
242.四则运算题目242    5 * 4 = 
243.四则运算题目243    8 - 5 + 8 = 
244.四则运算题目244    9 - 0 / 9 - 9 = 
245.四则运算题目245    5 * 6 = 
246.四则运算题目246    5 / 7 = 
247.四则运算题目247    5 + 5 + 3 = 
248.四则运算题目248    0 + 6 - 5 = 
249.四则运算题目249    1 - 1 + 1 + 9 = 
250.四则运算题目250    6 * 7 + 3 = 
251.四则运算题目251    7 / 7 / 6 = 
252.四则运算题目252    6 / 6 / 6 = 
253.四则运算题目253    5 + 7 = 
254.四则运算题目254    0 + 5 / 9 - 0 = 
255.四则运算题目255    4 * 5 - 5 - 5 = 
256.四则运算题目256    9 * 9 * 6 / 3 = 
257.四则运算题目257    2 * 2 + 9 = 
258.四则运算题目258    6 / 4 + 4 + 6 = 
259.四则运算题目259    9 * 8 - 8 = 
260.四则运算题目260    8 + 8 + 8 + 0 = 
261.四则运算题目261    9 * 3 + 2 = 
262.四则运算题目262    2 * 2 * 2 + 2 = 
263.四则运算题目263    7 - 7 / 3 + 7 = 
264.四则运算题目264    8 + 8 + 9 = 
265.四则运算题目265    8 / 5 * 5 = 
266.四则运算题目266    6 + 6 + 0 - 6 = 
267.四则运算题目267    6 + 1 / 7 = 
268.四则运算题目268    5 * 5 * 2 / 1 = 
269.四则运算题目269    3 * 6 - 3 + 3 = 
270.四则运算题目270    8 / 7 = 
271.四则运算题目271    0 / 9 + 9 = 
272.四则运算题目272    7 / 7 + 7 + 7 = 
273.四则运算题目273    4 * 4 * 4 = 
274.四则运算题目274    5 + 0 - 0 - 3 = 
275.四则运算题目275    1 / 3 = 
276.四则运算题目276    4 + 6 - 4 = 
277.四则运算题目277    7 + 6 - 7 / 8 = 
278.四则运算题目278    1 / 1 / 1 / 5 = 
279.四则运算题目279    6 * 0 - 6 * 0 = 
280.四则运算题目280    7 / 8 = 
281.四则运算题目281    1 + 0 / 6 = 
282.四则运算题目282    4 + 4 + 4 + 5 = 
283.四则运算题目283    6 * 5 + 6 * 0 = 
284.四则运算题目284    8 - 0 + 4 * 0 = 
285.四则运算题目285    4 + 9 * 9 = 
286.四则运算题目286    3 + 4 / 4 = 
287.四则运算题目287    2 + 0 / 6 = 
288.四则运算题目288    6 + 7 * 6 + 6 = 
289.四则运算题目289    2 - 7 / 7 = 
290.四则运算题目290    5 * 5 * 2 + 7 = 
291.四则运算题目291    6 - 1 / 5 + 6 = 
292.四则运算题目292    2 - 2 / 6 = 
293.四则运算题目293    1 * 3 / 5 = 
294.四则运算题目294    4 + 4 + 7 * 5 = 
295.四则运算题目295    9 * 2 - 2 + 9 = 
296.四则运算题目296    8 - 7 / 1 + 1 = 
297.四则运算题目297    6 - 6 / 8 * 6 = 
298.四则运算题目298    9 + 9 + 1 = 
299.四则运算题目299    9 / 7 * 6 = 
300.四则运算题目300    7 + 5 - 7 = 
301.四则运算题目301    4 * 2 - 2 = 
302.四则运算题目302    3 + 9 * 3 + 8 = 
303.四则运算题目303    0 + 4 - 4 = 
304.四则运算题目304    1 + 6 * 1 + 5 = 
305.四则运算题目305    3 * 1 / 3 * 1 = 
306.四则运算题目306    6 + 6 + 6 = 
307.四则运算题目307    3 * 4 + 3 = 
308.四则运算题目308    9 * 5 = 
309.四则运算题目309    0 / 7 * 3 = 
310.四则运算题目310    2 * 2 * 2 * 1 = 
311.四则运算题目311    7 * 5 - 3 + 7 = 
312.四则运算题目312    4 + 9 - 9 = 
313.四则运算题目313    4 / 8 = 
314.四则运算题目314    4 - 0 / 4 = 
315.四则运算题目315    4 / 2 = 
316.四则运算题目316    8 + 6 / 1 = 
317.四则运算题目317    8 / 3 + 8 - 3 = 
318.四则运算题目318    5 + 5 + 5 = 
319.四则运算题目319    2 + 2 + 7 = 
320.四则运算题目320    3 - 1 * 1 * 1 = 
321.四则运算题目321    2 + 5 / 5 = 
322.四则运算题目322    7 - 6 + 8 * 7 = 
323.四则运算题目323    3 * 7 - 3 = 
324.四则运算题目324    6 / 3 * 3 * 3 = 
325.四则运算题目325    7 * 4 + 1 = 
326.四则运算题目326    3 / 8 * 9 - 1 = 
327.四则运算题目327    0 + 8 / 4 = 
328.四则运算题目328    2 + 5 / 2 = 
329.四则运算题目329    6 + 5 - 6 = 
330.四则运算题目330    7 / 2 * 2 = 
331.四则运算题目331    7 * 8 = 
332.四则运算题目332    1 / 5 + 3 = 
333.四则运算题目333    2 * 0 + 8 - 8 = 
334.四则运算题目334    7 * 4 = 
335.四则运算题目335    5 + 6 / 6 * 1 = 
336.四则运算题目336    3 * 8 - 8 - 8 = 
337.四则运算题目337    1 + 0 * 9 = 
338.四则运算题目338    1 * 8 / 2 + 2 = 
339.四则运算题目339    1 / 1 / 9 = 
340.四则运算题目340    3 + 3 + 8 - 8 = 
341.四则运算题目341    3 - 0 + 7 = 
342.四则运算题目342    4 / 8 * 7 + 4 = 
343.四则运算题目343    5 * 5 * 2 = 
344.四则运算题目344    0 + 9 - 2 = 
345.四则运算题目345    8 * 6 - 8 = 
346.四则运算题目346    1 * 3 - 3 = 
347.四则运算题目347    6 - 2 + 1 = 
348.四则运算题目348    3 * 9 = 
349.四则运算题目349    5 * 9 - 9 = 
350.四则运算题目350    5 * 9 - 1 = 
351.四则运算题目351    3 / 7 = 
352.四则运算题目352    2 + 5 - 2 = 
353.四则运算题目353    9 * 7 + 5 / 7 = 
354.四则运算题目354    1 + 1 - 1 - 1 = 
355.四则运算题目355    3 / 2 = 
356.四则运算题目356    3 / 7 * 5 = 
357.四则运算题目357    5 * 1 / 5 = 
358.四则运算题目358    5 * 9 - 9 - 2 = 
359.四则运算题目359    2 * 2 * 1 / 8 = 
360.四则运算题目360    2 * 8 - 2 = 
361.四则运算题目361    6 + 4 - 6 = 
362.四则运算题目362    9 - 1 + 9 / 9 = 
363.四则运算题目363    4 + 0 / 5 = 
364.四则运算题目364    7 - 0 + 0 + 7 = 
365.四则运算题目365    6 * 4 / 5 - 4 = 
366.四则运算题目366    6 - 0 + 0 + 2 = 
367.四则运算题目367    3 + 3 + 3 + 6 = 
368.四则运算题目368    9 * 9 * 2 / 9 = 
369.四则运算题目369    8 - 0 + 8 - 6 = 
370.四则运算题目370    0 / 6 = 
371.四则运算题目371    1 + 7 / 1 + 9 = 
372.四则运算题目372    1 / 4 = 
373.四则运算题目373    4 * 2 / 2 / 7 = 
374.四则运算题目374    9 + 5 / 2 = 
375.四则运算题目375    4 / 7 + 4 = 
376.四则运算题目376    7 / 3 = 
377.四则运算题目377    3 / 3 / 3 / 8 = 
378.四则运算题目378    7 * 4 + 7 = 
379.四则运算题目379    9 + 0 - 9 + 0 = 
380.四则运算题目380    2 * 9 / 3 = 
381.四则运算题目381    8 - 1 + 8 = 
382.四则运算题目382    2 / 5 * 7 + 7 = 
383.四则运算题目383    5 + 5 + 7 * 2 = 
384.四则运算题目384    8 / 2 + 8 = 
385.四则运算题目385    9 - 5 / 6 + 5 = 
386.四则运算题目386    2 * 2 * 9 / 2 = 
387.四则运算题目387    1 + 6 * 6 = 
388.四则运算题目388    4 * 6 / 6 = 
389.四则运算题目389    7 + 3 / 3 = 
390.四则运算题目390    6 * 6 * 0 - 0 = 
391.四则运算题目391    4 * 9 - 4 = 
392.四则运算题目392    5 + 5 + 8 = 
393.四则运算题目393    3 + 6 - 3 = 
394.四则运算题目394    8 / 2 = 
395.四则运算题目395    7 * 1 + 7 = 
396.四则运算题目396    2 + 3 * 2 + 8 = 
397.四则运算题目397    5 * 5 = 
398.四则运算题目398    9 / 9 / 6 + 9 = 
399.四则运算题目399    3 * 3 * 8 - 8 = 
400.四则运算题目400    4 - 4 + 7 = 
401.四则运算题目401    4 + 0 - 0 - 4 = 
402.四则运算题目402    3 / 4 = 
403.四则运算题目403    6 - 1 * 6 + 3 = 
404.四则运算题目404    4 + 4 + 9 = 
405.四则运算题目405    4 + 4 * 4 * 4 = 
406.四则运算题目406    1 / 3 + 2 - 2 = 
407.四则运算题目407    9 / 2 + 7 = 
408.四则运算题目408    4 * 8 / 3 = 
409.四则运算题目409    1 + 1 - 1 + 1 = 
410.四则运算题目410    9 / 7 = 
411.四则运算题目411    1 + 0 / 9 = 
412.四则运算题目412    2 + 1 / 4 - 1 = 
413.四则运算题目413    2 + 5 * 7 = 
414.四则运算题目414    8 / 4 = 
415.四则运算题目415    2 / 8 = 
416.四则运算题目416    7 * 7 = 
417.四则运算题目417    6 / 5 = 
418.四则运算题目418    5 + 2 * 2 * 0 = 
419.四则运算题目419    9 - 8 + 9 = 
420.四则运算题目420    1 + 7 - 7 = 
421.四则运算题目421    2 * 2 * 2 * 0 = 
422.四则运算题目422    1 * 4 + 4 + 4 = 
423.四则运算题目423    6 * 4 - 6 = 
424.四则运算题目424    7 + 8 / 7 - 7 = 
425.四则运算题目425    5 * 5 * 4 = 
426.四则运算题目426    6 / 6 / 4 = 
427.四则运算题目427    8 * 8 - 2 / 2 = 
428.四则运算题目428    5 / 4 * 3 = 
429.四则运算题目429    3 / 8 * 3 = 
430.四则运算题目430    8 - 6 + 7 = 
431.四则运算题目431    6 * 3 - 5 = 
432.四则运算题目432    4 + 4 - 4 + 4 = 
433.四则运算题目433    6 + 8 - 6 = 
434.四则运算题目434    4 + 6 * 4 = 
435.四则运算题目435    9 / 9 = 
436.四则运算题目436    9 + 4 - 9 + 4 = 
437.四则运算题目437    6 + 1 / 2 - 2 = 
438.四则运算题目438    0 / 8 + 1 - 1 = 
439.四则运算题目439    7 + 7 + 2 - 2 = 
440.四则运算题目440    3 + 2 / 3 + 3 = 
441.四则运算题目441    2 / 5 = 
442.四则运算题目442    2 + 5 - 5 = 
443.四则运算题目443    7 + 2 * 7 = 
444.四则运算题目444    2 / 7 + 2 = 
445.四则运算题目445    3 / 3 / 9 + 9 = 
446.四则运算题目446    3 + 0 * 0 * 3 = 
447.四则运算题目447    0 + 0 + 0 + 1 = 
448.四则运算题目448    5 * 5 * 5 = 
449.四则运算题目449    7 * 7 - 6 = 
450.四则运算题目450    1 / 6 = 
451.四则运算题目451    3 * 3 * 6 = 
452.四则运算题目452    9 + 5 - 9 + 0 = 
453.四则运算题目453    8 / 8 / 6 = 
454.四则运算题目454    0 + 8 - 8 = 
455.四则运算题目455    5 + 5 + 0 - 2 = 
456.四则运算题目456    9 / 1 * 1 = 
457.四则运算题目457    1 * 2 / 5 = 
458.四则运算题目458    0 + 8 * 3 = 
459.四则运算题目459    7 * 1 / 4 = 
460.四则运算题目460    8 + 7 / 3 - 8 = 
461.四则运算题目461    7 + 9 * 4 - 7 = 
462.四则运算题目462    3 / 1 + 5 * 4 = 
463.四则运算题目463    0 + 0 + 4 * 4 = 
464.四则运算题目464    2 / 6 + 8 * 6 = 
465.四则运算题目465    0 * 3 / 3 = 
466.四则运算题目466    8 / 5 * 4 + 8 = 
467.四则运算题目467    9 + 9 + 9 * 9 = 
468.四则运算题目468    9 - 8 / 9 = 
469.四则运算题目469    5 / 8 = 
470.四则运算题目470    3 * 4 - 6 = 
471.四则运算题目471    3 / 5 * 1 + 5 = 
472.四则运算题目472    6 * 6 * 0 = 
473.四则运算题目473    0 + 7 * 8 - 0 = 
474.四则运算题目474    6 + 6 + 2 * 5 = 
475.四则运算题目475    3 * 5 - 0 = 
476.四则运算题目476    8 + 5 * 9 - 4 = 
477.四则运算题目477    5 / 9 = 
478.四则运算题目478    7 - 0 + 7 - 7 = 
479.四则运算题目479    5 * 3 + 3 + 3 = 
480.四则运算题目480    2 + 3 / 6 = 
481.四则运算题目481    7 + 9 - 7 + 8 = 
482.四则运算题目482    7 / 9 = 
483.四则运算题目483    6 * 9 = 
484.四则运算题目484    6 / 8 = 
485.四则运算题目485    2 - 7 / 6 = 
486.四则运算题目486    9 * 3 + 6 - 6 = 
487.四则运算题目487    9 * 7 + 1 - 7 = 
488.四则运算题目488    6 * 6 * 6 = 
489.四则运算题目489    3 + 9 * 3 = 
490.四则运算题目490    5 - 2 / 6 + 2 = 
491.四则运算题目491    9 * 8 + 2 / 8 = 
492.四则运算题目492    2 * 1 - 2 + 3 = 
493.四则运算题目493    8 - 3 / 8 - 7 = 
494.四则运算题目494    7 - 4 / 7 - 5 = 
495.四则运算题目495    1 / 7 = 
496.四则运算题目496    2 / 2 / 3 - 0 = 
497.四则运算题目497    7 + 3 / 5 - 3 = 
498.四则运算题目498    7 * 5 - 1 = 
499.四则运算题目499    2 + 0 - 1 * 1 = 
500.四则运算题目500    2 / 2 / 1 - 1 = 
501.四则运算题目501    4 * 8 + 4 * 2 = 
502.四则运算题目502    9 * 9 * 9 = 
503.四则运算题目503    0 + 6 - 0 + 6 = 
504.四则运算题目504    6 + 0 / 5 = 
505.四则运算题目505    5 / 3 = 
506.四则运算题目506    1 / 8 - 0 + 8 = 
507.四则运算题目507    6 * 5 + 5 + 5 = 
508.四则运算题目508    6 + 0 / 6 + 6 = 
509.四则运算题目509    3 + 9 / 5 = 
510.四则运算题目510    6 + 6 + 6 + 6 = 
511.四则运算题目511    8 / 5 * 8 = 
512.四则运算题目512    5 + 5 + 4 / 5 = 
513.四则运算题目513    5 + 9 - 5 = 
514.四则运算题目514    7 / 2 + 7 = 
515.四则运算题目515    9 * 8 + 8 + 4 = 
516.四则运算题目516    3 + 3 + 9 = 
517.四则运算题目517    8 + 4 / 9 = 
518.四则运算题目518    4 / 4 - 4 / 4 = 
519.四则运算题目519    9 * 7 / 4 - 2 = 
520.四则运算题目520    9 * 9 + 9 = 
521.四则运算题目521    2 * 2 + 2 = 
522.四则运算题目522    9 * 8 = 
523.四则运算题目523    1 + 4 - 1 + 1 = 
524.四则运算题目524    2 + 7 / 7 = 
525.四则运算题目525    5 / 5 / 1 = 
526.四则运算题目526    9 - 9 + 9 - 2 = 
527.四则运算题目527    5 - 1 + 4 = 
528.四则运算题目528    9 / 6 = 
529.四则运算题目529    5 + 4 / 5 = 
530.四则运算题目530    1 * 1 * 7 - 7 = 
531.四则运算题目531    6 - 5 / 5 = 
532.四则运算题目532    8 + 4 - 4 - 6 = 
533.四则运算题目533    4 * 4 + 2 - 2 = 
534.四则运算题目534    6 * 3 / 2 - 2 = 
535.四则运算题目535    7 + 9 - 9 - 7 = 
536.四则运算题目536    7 - 8 / 8 + 7 = 
537.四则运算题目537    3 / 2 + 3 = 
538.四则运算题目538    6 / 6 / 6 + 6 = 
539.四则运算题目539    4 + 7 / 4 = 
540.四则运算题目540    5 - 1 + 0 * 0 = 
541.四则运算题目541    4 + 4 + 0 = 
542.四则运算题目542    5 - 4 * 0 = 
543.四则运算题目543    1 / 5 + 1 / 1 = 
544.四则运算题目544    2 / 1 - 1 = 
545.四则运算题目545    5 / 8 * 5 / 9 = 
546.四则运算题目546    9 * 4 - 3 + 4 = 
547.四则运算题目547    5 / 2 * 1 = 
548.四则运算题目548    4 / 6 * 5 = 
549.四则运算题目549    8 * 6 + 6 = 
550.四则运算题目550    1 / 1 / 6 = 
551.四则运算题目551    6 * 6 + 6 * 6 = 
552.四则运算题目552    4 + 4 + 6 / 4 = 
553.四则运算题目553    5 + 3 / 5 + 5 = 
554.四则运算题目554    3 + 4 / 4 / 2 = 
555.四则运算题目555    4 / 5 * 7 = 
556.四则运算题目556    9 * 9 * 7 = 
557.四则运算题目557    5 / 4 * 7 = 
558.四则运算题目558    0 * 0 + 4 = 
559.四则运算题目559    4 + 4 + 3 = 
560.四则运算题目560    8 * 9 + 9 - 8 = 
561.四则运算题目561    7 / 5 + 7 / 7 = 
562.四则运算题目562    8 - 1 / 1 / 1 = 
563.四则运算题目563    5 + 7 - 5 = 
564.四则运算题目564    8 - 0 + 0 + 8 = 
565.四则运算题目565    2 * 4 / 4 = 
566.四则运算题目566    4 * 4 * 6 / 8 = 
567.四则运算题目567    4 + 6 - 5 = 
568.四则运算题目568    2 / 9 + 2 = 
569.四则运算题目569    5 + 5 + 2 = 
570.四则运算题目570    2 + 2 - 0 = 
571.四则运算题目571    1 - 1 - 0 / 4 = 
572.四则运算题目572    7 / 1 * 7 / 8 = 
573.四则运算题目573    5 + 0 - 0 = 
574.四则运算题目574    4 / 4 + 4 + 4 = 
575.四则运算题目575    2 + 2 + 7 / 9 = 
576.四则运算题目576    5 + 5 + 6 - 6 = 
577.四则运算题目577    4 / 9 + 4 / 8 = 
578.四则运算题目578    6 * 6 * 9 - 0 = 
579.四则运算题目579    7 - 4 + 6 / 3 = 
580.四则运算题目580    2 * 8 + 2 = 
581.四则运算题目581    9 / 9 / 7 = 
